Date,playerId,playerFullName,Throws,Team,PitchType,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,primary_fastball,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,PitchCall,VertApprAngle,HorzApprAngle,VertRelAngle,HorzRelAngle,group_mean,group_std,CLASS+
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,84.92773,14.18741,-14.03745,2300.110776,6.89878,5.239,-3.09952,14.03745,3.09952,4S,87.13058102362204,13.557534251968503,9.840293674540682,-2.2028510236220455,0.6298757480314965,4.197156325459318,0.006450628944613734,StrikeCalled,-4.987928,0.996827,-0.51642,3.558905,0.0028173875412249826,0.007336215723822519,104.95247350972888
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.86637,14.83028,-13.45871,2306.949257,6.99709,5.28422,-2.91491,13.45871,2.91491,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.264211023622039,1.2727457480314968,3.618416325459318,0.0002505892927959503,BallCalled,-3.564958,1.445798,0.71347,3.904088,0.0028173875412249826,0.007336215723822519,96.50119578668604
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.60724,13.4939,-18.75824,2306.624322,6.97727,5.19321,-3.08289,18.75824,3.08289,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.523341023622038,-0.06363425196850336,8.917946325459319,0.01176988402837419,FoulBallNotFieldable,-5.001345,0.613475,-0.447972,4.040579,0.0028173875412249826,0.007336215723822519,112.20315326616995
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,89.57941,15.9241,-11.68268,2442.974045,6.768,5.19423,-3.00284,11.68268,3.00284,4S,87.13058102362204,13.557534251968503,9.840293674540682,2.4488289763779534,2.366565748031496,1.8423863254593176,0.019582976611402826,BallCalled,-2.978933,-0.080522,0.57633,2.049486,0.0028173875412249826,0.007336215723822519,122.85318439551307
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,86.20583,15.18961,-11.18512,2351.85331,6.97574,5.34225,-2.90443,11.18512,2.90443,4S,87.13058102362204,13.557534251968503,9.840293674540682,-0.9247510236220364,1.6320757480314967,1.3448263254593176,0.0029532122588185215,BallCalled,-3.137656,1.247711,0.985148,3.291585,0.0028173875412249826,0.007336215723822519,100.18514275303068
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.60659,15.56225,-12.22599,2258.519,7.066,5.23543,-3.03531,12.22599,3.03531,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.5239910236220453,2.004715748031497,2.3856963254593175,0.002389273043678458,FoulBallNotFieldable,-4.716113,1.237771,-0.565268,3.476192,0.0028173875412249826,0.007336215723822519,99.41643687472775
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,86.31233,15.24969,-10.99741,2289.611843,7.03887,5.34919,-2.9905,10.99741,2.9905,4S,87.13058102362204,13.557534251968503,9.840293674540682,-0.8182510236220395,1.692155748031496,1.1571163254593184,-0.0017999673070320003,BallCalled,-4.244254,0.836792,-0.18484,2.850863,0.0028173875412249826,0.007336215723822519,93.70608087046394
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,CH,80.67355,4.9337,-13.57599,2166.74758,6.94811,5.07638,-2.95696,13.57599,2.95696,4S,87.13058102362204,13.557534251968503,9.840293674540682,-6.4570310236220365,-8.623834251968503,3.735696325459317,0.003927225625755422,BallCalled,-6.519906,4.667,0.379091,7.123089,0.005730213940822945,0.009439826183703717,98.09001958300877
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,CH,81.09316,6.57902,-17.83804,2084.701752,6.92895,5.09216,-3.28255,17.83804,3.28255,4S,87.13058102362204,13.557534251968503,9.840293674540682,-6.037421023622045,-6.9785142519685035,7.9977463254593175,0.0017579026938123127,StrikeCalled,-6.459177,1.379607,0.114761,4.632949,0.005730213940822945,0.009439826183703717,95.79196568908424
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,71.32472,1.41158,17.55615,2217.174171,6.20459,5.15117,-3.06616,-17.55615,3.06616,4S,87.13058102362204,13.557534251968503,9.840293674540682,-15.805861023622043,-12.145954251968503,-27.39644367454068,0.012811608244622349,BallCalled,-6.765659,3.746781,3.205276,0.581006,0.0074131820252190065,0.007873758574086115,106.85622523043885
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,CH,81.78571,8.58839,-16.71217,2081.121986,6.8021,5.12144,-3.13953,16.71217,3.13953,4S,87.13058102362204,13.557534251968503,9.840293674540682,-5.344871023622048,-4.969144251968503,6.8718763254593185,0.012677953245121871,InPlay,-5.6592,1.618636,0.451135,4.657403,0.005730213940822945,0.009439826183703717,107.36002884914664
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.94179,11.94619,-10.64851,2292.031901,7.19777,5.27609,-3.04952,10.64851,3.04952,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.188791023622045,-1.6113442519685037,0.808216325459318,-0.0015236726142219392,StrikeSwinging,-4.769533,2.77229,-0.097121,4.721367,0.0028173875412249826,0.007336215723822519,94.08269832994357
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,87.45644,11.70772,-11.07489,2309.711438,7.12682,5.19426,-2.99552,11.07489,2.99552,4S,87.13058102362204,13.557534251968503,9.840293674540682,0.32585897637795824,-1.8498142519685032,1.234596325459318,0.01228116928103745,FoulBallNotFieldable,-4.511803,2.562826,-0.032824,4.587909,0.0028173875412249826,0.007336215723822519,112.90008649702217
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,88.62932,15.34363,-11.88977,2347.877513,6.88947,5.39809,-2.92389,11.88977,2.92389,4S,87.13058102362204,13.557534251968503,9.840293674540682,1.4987389763779646,1.7860957480314958,2.0494763254593185,0.008871288348626917,BallCalled,-3.291574,1.007701,0.442563,3.177538,0.0028173875412249826,0.007336215723822519,108.25207577762934
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,75.17758,9.13201,16.75965,2405.336647,6.08227,5.17906,-3.08371,-16.75965,3.08371,4S,87.13058102362204,13.557534251968503,9.840293674540682,-11.953001023622036,-4.425524251968504,-26.599943674540683,0.018192395369509326,StrikeCalled,-6.726739,4.305932,1.003825,1.289653,0.0074131820252190065,0.007873758574086115,113.69004807915567
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,88.22954,15.44021,-13.10261,2332.237636,7.03563,5.18756,-3.08077,13.10261,3.08077,4S,87.13058102362204,13.557534251968503,9.840293674540682,1.0989589763779577,1.882675748031497,3.2623163254593184,0.009593324288200313,StrikeCalled,-4.757746,2.545921,-1.011635,4.936055,0.0028173875412249826,0.007336215723822519,109.23628339468287
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,88.38402,15.72442,-11.84245,2377.17609,6.82766,5.24687,-2.9736,11.84245,2.9736,4S,87.13058102362204,13.557534251968503,9.840293674540682,1.2534389763779643,2.166885748031497,2.0021563254593175,0.02177452206449133,BallCalled,-3.435091,0.039993,0.296512,2.201529,0.0028173875412249826,0.007336215723822519,125.84048130115342
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,86.51916,14.9482,-12.41386,2308.614153,6.96785,5.25272,-3.01987,12.41386,3.01987,4S,87.13058102362204,13.557534251968503,9.840293674540682,-0.611421023622043,1.3906657480314966,2.5735663254593177,0.00016255798020739726,FoulBallNotFieldable,-5.019843,3.051964,-0.887717,5.311105,0.0028173875412249826,0.007336215723822519,96.38120025233624
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,88.73839,14.42288,-9.02583,2410.20857,6.597,5.28029,-2.90192,9.02583,2.90192,4S,87.13058102362204,13.557534251968503,9.840293674540682,1.607808976377953,0.8653457480314959,-0.8144636745406828,0.010593738337853436,StrikeSwinging,-4.033742,1.844668,-0.139124,3.481774,0.0028173875412249826,0.007336215723822519,110.59994837853078
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,84.91097,14.95324,-11.66733,2270.0261,7.01364,5.23667,-2.90156,11.66733,2.90156,4S,87.13058102362204,13.557534251968503,9.840293674540682,-2.2196110236220363,1.3957057480314958,1.8270363254593178,0.007380979647023496,FoulBallNotFieldable,-4.519702,2.649597,-0.129154,4.777219,0.0028173875412249826,0.007336215723822519,106.2206351034354
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.71398,13.65583,-13.19036,2323.367146,6.9703,5.26372,-3.00644,13.19036,3.00644,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.4166010236220359,0.09829574803149654,3.350066325459318,-0.004848716472519868,BallCalled,-4.695157,0.421105,-0.325084,2.834237,0.0028173875412249826,0.007336215723822519,89.55032907654133
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,73.08039,2.62354,15.34209,2248.455229,6.17008,5.13381,-3.12266,-15.34209,3.12266,4S,87.13058102362204,13.557534251968503,9.840293674540682,-14.050191023622048,-10.933994251968503,-25.18238367454068,0.011497372896247755,BallCalled,-8.037997,3.230854,1.158305,0.460715,0.0074131820252190065,0.007873758574086115,105.18709182228487
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.36327,14.77804,-11.39595,2255.59824,6.9249,5.16685,-2.87685,11.39595,2.87685,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.7673110236220424,1.2205057480314974,1.5556563254593172,0.004947085344933644,InPlay,-5.065336,2.041874,-0.828243,4.120068,0.0028173875412249826,0.007336215723822519,102.90299233812469
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,CH,80.50538,7.60119,-19.04237,2070.689531,6.81364,5.09934,-3.25935,19.04237,3.25935,4S,87.13058102362204,13.557534251968503,9.840293674540682,-6.62520102362204,-5.9563442519685035,9.202076325459316,0.007774717408131796,HitByPitch,-5.313734,-1.75316,1.2163,1.724367,0.005730213940822945,0.009439826183703717,102.16582745012651
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,83.97977,13.73182,-11.10233,2156.271586,7.01479,5.1757,-2.97861,11.10233,2.97861,4S,87.13058102362204,13.557534251968503,9.840293674540682,-3.1508110236220404,0.17428574803149743,1.2620363254593183,-0.006175714205592804,InPlay,-4.944244,1.968412,-0.171665,3.996905,0.0028173875412249826,0.007336215723822519,87.74149768031637
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,81.60666,14.50587,-12.03221,2182.999406,7.02382,5.18505,-2.77766,12.03221,2.77766,4S,87.13058102362204,13.557534251968503,9.840293674540682,-5.523921023622037,0.9483357480314965,2.1919163254593172,-0.001591682805842912,StrikeCalled,-6.046021,1.995715,-0.990321,4.194559,0.0028173875412249826,0.007336215723822519,93.9899935974476
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,72.23991,2.88973,14.67824,2278.05484,6.25987,5.1666,-2.99293,-14.67824,2.99293,4S,87.13058102362204,13.557534251968503,9.840293674540682,-14.890671023622048,-10.667804251968503,-24.518533674540684,0.008430992426636748,FoulBallNotFieldable,-8.279343,5.486814,1.267259,2.840838,0.0074131820252190065,0.007873758574086115,101.2926614295332
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,72.45576,4.44788,15.67312,2240.410366,6.12835,5.09385,-2.98408,-15.67312,2.98408,4S,87.13058102362204,13.557534251968503,9.840293674540682,-14.674821023622044,-9.109654251968504,-25.513413674540683,0.010602708177559565,BallCalled,-8.664043,5.565068,0.455626,2.745129,0.0074131820252190065,0.007873758574086115,104.05083051801694
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,84.66341,14.77501,-12.82946,2178.611154,6.97799,5.19886,-2.74214,12.82946,2.74214,4S,87.13058102362204,13.557534251968503,9.840293674540682,-2.4671710236220434,1.2174757480314966,2.9891663254593173,0.0004403988622435701,FoulBallNotFieldable,-4.390818,1.569315,0.032272,3.912165,0.0028173875412249826,0.007336215723822519,96.75992532326615
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,71.8417,2.42425,13.10327,2241.611427,6.29232,5.14643,-3.04437,-13.10327,3.04437,4S,87.13058102362204,13.557534251968503,9.840293674540682,-15.28888102362204,-11.133284251968504,-22.943563674540684,0.012948449832497141,StrikeSwinging,-9.076411,5.343499,0.388704,2.978429,0.0074131820252190065,0.007873758574086115,107.0300197233576
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,FC,83.03754,12.54666,-4.28847,2170.431556,7.15076,5.19758,-2.97969,4.28847,2.97969,4S,87.13058102362204,13.557534251968503,9.840293674540682,-4.093041023622035,-1.0108742519685041,-5.551823674540682,0.018359713276901633,BallCalled,-5.260414,3.767892,-0.224911,4.551986,0.01129307469919809,0.007585897596312635,109.31549429448995
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,71.44347,6.92193,15.14206,2173.418842,6.26738,5.16937,-2.94019,-15.14206,2.94019,4S,87.13058102362204,13.557534251968503,9.840293674540682,-15.687111023622037,-6.635604251968504,-24.982353674540683,0.008712647880246135,StrikeCalled,-6.889172,5.390095,2.04098,2.662301,0.0074131820252190065,0.007873758574086115,101.65037553895021
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,71.17617,6.35185,17.54434,2193.08543,6.17028,5.06488,-3.04649,-17.54434,3.04649,4S,87.13058102362204,13.557534251968503,9.840293674540682,-15.954411023622043,-7.205684251968504,-27.38463367454068,0.006667997650299957,BallCalled,-7.840237,3.534457,1.280991,0.367853,0.0074131820252190065,0.007873758574086115,99.05358493290412
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,FC,83.02663,12.39938,-4.82051,2210.815228,7.12054,5.0787,-2.98688,4.82051,2.98688,4S,87.13058102362204,13.557534251968503,9.840293674540682,-4.103951023622045,-1.1581542519685026,-5.019783674540682,0.01889125410882675,StrikeCalled,-5.225692,3.057025,-0.135932,3.939218,0.01129307469919809,0.007585897596312635,110.01619032310956
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,FC,83.48173,13.1343,-4.01036,2214.532925,7.01338,5.20239,-2.96234,4.01036,2.96234,4S,87.13058102362204,13.557534251968503,9.840293674540682,-3.6488510236220435,-0.4232342519685037,-5.829933674540682,0.022519699193409144,StrikeSwinging,-5.01476,3.899419,-0.144838,4.63049,0.01129307469919809,0.007585897596312635,114.79933567738657
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,CH,78.11713,2.76059,-16.88438,1843.654148,6.83548,5.16846,-3.17428,16.88438,3.17428,4S,87.13058102362204,13.557534251968503,9.840293674540682,-9.01345102362204,-10.796944251968503,7.044086325459318,0.007821710643079398,BallCalled,-6.337977,-0.196753,1.613374,2.885063,0.005730213940822945,0.009439826183703717,102.21560933597175
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.69056,14.02741,-7.32654,2274.986569,7.11874,5.19949,-2.86918,7.32654,2.86918,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.4400210236220374,0.46987574803149634,-2.5137536745406823,0.003414939764448736,BallCalled,-5.295571,4.028128,-0.937221,5.364318,0.0028173875412249826,0.007336215723822519,100.81452378953819
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,84.73494,13.85595,-7.57721,2224.473989,7.12076,5.17941,-2.89381,7.57721,2.89381,4S,87.13058102362204,13.557534251968503,9.840293674540682,-2.395641023622048,0.2984157480314966,-2.263083674540682,-0.004607549672780792,BallCalled,-6.341384,3.184017,-1.799928,4.569649,0.0028173875412249826,0.007336215723822519,89.8790636841619
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,86.49072,13.73749,-7.71504,2315.312739,7.09614,5.21463,-3.02794,7.71504,3.02794,4S,87.13058102362204,13.557534251968503,9.840293674540682,-0.6398610236220463,0.17995574803149594,-2.125253674540682,0.0010595060622025122,StrikeCalled,-5.986386,1.766357,-1.70913,3.180591,0.0028173875412249826,0.007336215723822519,97.60383071436382
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,85.7177,15.14375,-4.58008,2337.69401,7.01252,5.25105,-2.90961,4.58008,2.90961,4S,87.13058102362204,13.557534251968503,9.840293674540682,-1.4128810236220488,1.5862157480314973,-5.260213674540682,-0.007219194143596416,FoulBallNotFieldable,-5.385198,2.5002,-1.261753,3.337766,0.0028173875412249826,0.007336215723822519,86.3191295585405
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,4S,86.13152,17.03481,-7.91559,2329.527425,7.0778,5.2163,-2.87784,7.91559,2.87784,4S,87.13058102362204,13.557534251968503,9.840293674540682,-0.9990610236220476,3.477275748031497,-1.924703674540682,0.0012000767103387121,BallCalled,-4.697752,3.379671,-0.923965,4.82421,0.0028173875412249826,0.007336215723822519,97.79544264812925
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,70.86688,1.94563,14.2791,2136.541659,6.33854,5.26442,-3.08128,-14.2791,3.08128,4S,87.13058102362204,13.557534251968503,9.840293674540682,-16.263701023622048,-11.611904251968504,-24.11939367454068,0.017028574223142124,StrikeCalled,-9.08871,5.406117,0.885313,2.826613,0.0074131820252190065,0.007873758574086115,112.21194694687365
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,71.57534,1.71858,15.5817,2205.967245,6.15986,5.17886,-3.19234,-15.5817,3.19234,4S,87.13058102362204,13.557534251968503,9.840293674540682,-15.555241023622045,-11.838954251968504,-25.42199367454068,0.013616814753782508,StrikeCalled,-8.3549,3.925156,1.482138,1.114008,0.0074131820252190065,0.007873758574086115,107.87887089779552
2025-02-14,702651.0,"Fisher, Cade",Left,AUB_TIG,SL,71.77169,-1.58228,16.25611,2310.711707,6.16708,5.16176,-3.02627,-16.25611,3.02627,4S,87.13058102362204,13.557534251968503,9.840293674540682,-15.358891023622036,-15.139814251968502,-26.09640367454068,0.007617492418049324,BallCalled,-10.938145,7.911762,-0.55755,4.997142,0.0074131820252190065,0.007873758574086115,100.25948267388175
