Date,playerId,playerFullName,Throws,Team,PitchType,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,primary_fastball,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,PitchCall,VertApprAngle,HorzApprAngle,VertRelAngle,HorzRelAngle,group_mean,group_std,CLASS+
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,97.33613,17.49458,14.55272,2436.205327,5.08295,5.83441,1.9179,14.55272,1.9179,4S,95.01537531914893,17.405139645390072,10.49308255319149,2.320754680851067,0.08944035460992694,4.059637446808511,0.0056193167658210134,StrikeCalled,-5.807237,0.449441,-3.323948,-2.122266,0.0028173875412249826,0.007336215723822519,103.8193113862471
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,98.17922,17.99446,15.22891,2533.328738,4.98135,5.80344,1.91402,15.22891,1.91402,4S,95.01537531914893,17.405139645390072,10.49308255319149,3.1638446808510707,0.5893203546099279,4.735827446808511,0.006892882811635691,StrikeCalled,-5.327525,0.211029,-2.992361,-2.473963,0.0028173875412249826,0.007336215723822519,105.55531001791095
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,97.58682,16.27418,15.188,2453.245042,4.88916,5.73567,1.8401,15.188,1.8401,4S,95.01537531914893,17.405139645390072,10.49308255319149,2.571444680851073,-1.130959645390071,4.69491744680851,0.0072859643867687306,InPlay,-4.880938,-0.322922,-2.13719,-2.994639,0.0028173875412249826,0.007336215723822519,106.09111974588365
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,98.48839,21.19958,13.09682,2473.713089,5.05216,5.77576,1.84215,13.09682,1.84215,4S,95.01537531914893,17.405139645390072,10.49308255319149,3.4730146808510653,3.794440354609929,2.603737446808509,0.007119151624727655,BallCalled,-3.411187,0.757152,-1.672854,-1.55593,0.0028173875412249826,0.007336215723822519,105.8637371711055
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,97.82602,17.94099,14.70068,2489.716993,4.86832,5.6575,1.84537,14.70068,1.84537,4S,95.01537531914893,17.405139645390072,10.49308255319149,2.8106446808510697,0.5358503546099271,4.20759744680851,0.004138060706399055,StrikeSwinging,-3.985375,-0.406389,-1.566987,-2.990794,0.0028173875412249826,0.007336215723822519,101.80021037397458
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,96.63316,16.87147,13.64879,2462.503582,4.87293,5.67878,1.74001,13.64879,1.74001,4S,95.01537531914893,17.405139645390072,10.49308255319149,1.6177846808510736,-0.5336696453900736,3.15570744680851,0.0021331979157109965,BallCalled,-5.699728,-0.719622,-3.003747,-3.119393,0.0028173875412249826,0.007336215723822519,99.06738071606557
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,CH,88.7099,0.09209,13.83623,1445.886071,4.63504,5.70692,2.08815,13.83623,2.08815,4S,95.01537531914893,17.405139645390072,10.49308255319149,-6.3054753191489255,-17.313049645390073,3.3431474468085103,0.018298426029306196,StrikeCalled,-10.238474,-0.79376,-3.508095,-3.223945,0.005730213940822945,0.009439826183703717,113.31402913983752
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,97.89848,18.28379,15.27556,2451.55673,5.0585,5.739,1.7833,15.27556,1.7833,4S,95.01537531914893,17.405139645390072,10.49308255319149,2.8831046808510763,0.8786503546099276,4.78247744680851,0.008061123766524222,BallCalled,-3.804153,0.918405,-1.451809,-1.779941,0.0028173875412249826,0.007336215723822519,107.14773995572611
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,98.23746,21.45273,10.72564,2456.436202,5.00104,5.74451,1.76244,10.72564,1.76244,4S,95.01537531914893,17.405139645390072,10.49308255319149,3.2220846808510686,4.047590354609927,0.2325574468085101,0.007249409866774599,StrikeSwinging,-4.275069,-0.675111,-2.50004,-2.565675,0.0028173875412249826,0.007336215723822519,106.04129225802035
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,98.14842,17.49095,14.91198,2395.722306,5.1779,5.73305,1.57179,14.91198,1.57179,4S,95.01537531914893,17.405139645390072,10.49308255319149,3.1330446808510715,0.08581035460992936,4.41889744680851,0.01380069856554784,InPlay,-5.435114,-0.05952,-3.036221,-2.697635,0.0028173875412249826,0.007336215723822519,114.9713577650904
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,SL,88.1497,1.58992,-3.70626,2518.46052,4.91134,5.81207,1.56656,-3.70626,1.56656,4S,95.01537531914893,17.405139645390072,10.49308255319149,-6.865675319148934,-15.815219645390073,-14.19934255319149,0.01158223043267864,StrikeCalled,-7.282374,-2.563642,-0.826453,-1.910191,0.0074131820252190065,0.007873758574086115,105.29486441352252
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,SL,87.23475,2.16638,-3.07292,2694.060684,5.18633,5.80668,1.56148,-3.07292,1.56148,4S,95.01537531914893,17.405139645390072,10.49308255319149,-7.780625319148925,-15.238759645390072,-13.56600255319149,0.01745179726395537,BallCalled,-6.013843,-0.96547,0.407706,-0.420762,0.0074131820252190065,0.007873758574086115,112.74945776439623
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,SL,86.90693,-1.04618,-6.65115,2609.876203,5.00164,5.87153,1.47951,-6.65115,1.47951,4S,95.01537531914893,17.405139645390072,10.49308255319149,-8.108445319148927,-18.451319645390072,-17.14423255319149,0.0160972753228586,BallCalled,-8.527127,-2.725241,-1.514991,-1.549295,0.0074131820252190065,0.007873758574086115,111.02915871235933
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,96.51985,17.37328,13.37812,2513.167167,5.23519,5.71841,1.64098,13.37812,1.64098,4S,95.01537531914893,17.405139645390072,10.49308255319149,1.5044746808510752,-0.03185964539007102,2.885037446808509,0.007694362329022788,StrikeSwinging,-4.07254,0.123366,-1.46697,-2.246653,0.0028173875412249826,0.007336215723822519,106.64780722295427
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,SL,87.96547,2.47311,-5.57528,2679.739137,4.96457,5.75191,1.54113,-5.57528,1.54113,4S,95.01537531914893,17.405139645390072,10.49308255319149,-7.049905319148934,-14.932029645390072,-16.06836255319149,0.02406127570709924,StrikeCalled,-7.410205,-2.714627,-1.129085,-1.730539,0.0074131820252190065,0.007873758574086115,121.14376955457075
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,SL,86.20973,-2.41024,-6.45626,2587.419791,4.47257,5.73925,1.68264,-6.45626,1.68264,4S,95.01537531914893,17.405139645390072,10.49308255319149,-8.805645319148937,-19.815379645390074,-16.949342553191492,0.013513799751617338,BallCalled,-9.151967,-2.439328,-1.686126,-1.308013,0.0074131820252190065,0.007873758574086115,107.74803757188658
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,95.87171,16.99253,10.0893,2507.040037,4.81507,5.66614,1.71398,10.0893,1.71398,4S,95.01537531914893,17.405139645390072,10.49308255319149,0.856334680851063,-0.4126096453900736,-0.4037825531914905,0.0018459438484063851,BallCalled,-4.170167,0.102458,-1.405292,-1.671839,0.0028173875412249826,0.007336215723822519,98.67582452671876
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,95.31464,17.60383,13.53741,2420.51768,4.30722,5.5943,1.68708,13.53741,1.68708,4S,95.01537531914893,17.405139645390072,10.49308255319149,0.29926468085106706,0.19869035460992635,3.0443274468085093,-0.0012901897655157096,StrikeCalled,-6.36367,-0.514065,-3.574622,-2.870677,0.0028173875412249826,0.007336215723822519,94.40095893935839
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,94.47039,15.84221,13.49607,2456.9069,4.57002,5.46975,1.70989,13.49607,1.70989,4S,95.01537531914893,17.405139645390072,10.49308255319149,-0.5449853191489353,-1.5629296453900725,3.0029874468085094,-0.009761302545283864,InPlay,-4.901066,-0.803708,-1.728819,-3.163113,0.0028173875412249826,0.007336215723822519,82.85398008994923
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,96.11272,18.31556,13.24288,2438.174726,4.55367,5.43935,1.79367,13.24288,1.79367,4S,95.01537531914893,17.405139645390072,10.49308255319149,1.0973446808510658,0.9104203546099292,2.7497974468085093,0.0019890730962889487,BallCalled,-5.872047,-1.439657,-3.340171,-3.751572,0.0028173875412249826,0.007336215723822519,98.87092408931449
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,CH,88.64363,1.32118,10.48115,1682.178137,4.4481,5.63448,2.06209,10.48115,2.06209,4S,95.01537531914893,17.405139645390072,10.49308255319149,-6.371745319148928,-16.083959645390074,-0.011932553191490669,0.017690678481769202,StrikeSwinging,-7.491073,-0.15655,-0.988807,-1.990051,0.005730213940822945,0.009439826183703717,112.67021691733477
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,CH,87.69878,1.77929,11.86079,1691.106659,4.61182,5.65409,2.04409,11.86079,2.04409,4S,95.01537531914893,17.405139645390072,10.49308255319149,-7.316595319148931,-15.625849645390073,1.3677074468085095,0.0009781816256261508,BallCalled,-7.05441,0.67694,-0.512757,-1.404424,0.005730213940822945,0.009439826183703717,94.96597477250123
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,4S,96.89588,17.00371,13.11001,2456.410848,4.70227,5.62665,1.83979,13.11001,1.83979,4S,95.01537531914893,17.405139645390072,10.49308255319149,1.8805046808510752,-0.40142964539007053,2.6169274468085106,0.0016529823946169046,FoulBallFieldable,-5.475855,-0.491343,-2.820132,-2.790058,0.0028173875412249826,0.007336215723822519,98.41279865472472
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,CH,88.05223,2.42953,13.26528,1782.978466,4.59152,5.61983,1.87134,13.26528,1.87134,4S,95.01537531914893,17.405139645390072,10.49308255319149,-6.963145319148936,-14.975609645390072,2.7721974468085104,0.015895892792017897,BallCalled,-6.405669,1.310421,0.008086,-1.015924,0.005730213940822945,0.009439826183703717,110.76892588207217
2025-02-14,695704.0,"Ligon, Karson",Right,MSU_BDG,SL,88.04955,-2.28693,-7.31394,2548.106709,4.594,5.61187,1.64629,-7.31394,1.64629,4S,95.01537531914893,17.405139645390072,10.49308255319149,-6.965825319148934,-19.69206964539007,-17.80702255319149,0.015354164053623283,FoulBallFieldable,-7.458756,-2.657946,-0.271745,-1.375188,0.0074131820252190065,0.007873758574086115,110.08537657547618
